name,types,price
"میلگرد Ck45 میلگرد","میلگرد","428000-475000 rial"
"میلگرد Ck45 میلگرد","میلگرد","400000-430000 rial"
"میلگرد Mo40 میلگرد","میلگرد","780000-1040000 rial"
"ورق Ck45 ورق(ضخامت8-عرض2متر)","ورق(ضخامت8-عرض2متر)","800000-700000 rial"
"ورق Ck45 ورق(ضخامت10الی25-عرض2متر)","ورق(ضخامت10الی25-عرض2متر)","600000-530000 rial"
"ورق Ck45 ورق(ضخامت10الی12-عرض2متر)","ورق(ضخامت10الی12-عرض2متر)","600000-530000 rial"
"ورق Ck45 ورق(ضخامت15الی30-عرض2متر)","ورق(ضخامت15الی30-عرض2متر)","600000-530000 rial"
"ورق Ck45 ورق(ضخامت35الی70-عرض2متر)","ورق(ضخامت35الی70-عرض2متر)","600000-530000 rial"
"ورق Ck45 ورق(ضخامت80الی100به بالا-عرض2متر)","ورق(ضخامت80الی100به بالا-عرض2متر)","600000-530000 rial"
"ورق Ck45 ورق","ورق","800000-750000 rial"
"میلگرد Mo40 میلگرد","میلگرد","470000-490000 rial"
"ورق Mo40 ورق","ورق","920000 rial"
"لوله Mo40 لوله","لوله","contact"
"ورق Mo40 ورق","ورق","740000-490000 rial"
"ورق Mo40 ورق(ضخامت 8-عرض2متر)","ورق(ضخامت 8-عرض2متر)","740000-490000 rial"
"ورق Mo40 ورق(ضخامت10الی25-عرض2متر)","ورق(ضخامت10الی25-عرض2متر)","740000-490000 rial"
"ورق Mo40 ورق(ضخامت30الی70-عرض2متر)","ورق(ضخامت30الی70-عرض2متر)","740000-490000 rial"
"ورق Mo40 ورق(ضخامت 80الی100-عرض2متر)","ورق(ضخامت 80الی100-عرض2متر)","740000-490000 rial"
"ورق Mo40 ورق(ضخامت120-عرض2متر)","ورق(ضخامت120-عرض2متر)","740000-490000 rial"
"میلگرد Ck60 میلگرد","میلگرد","650000-850000 rial"
"ورق Ck60 ورق","ورق","1200000-1000000 rial"
"میلگرد ۴۱Cr4 میلگرد","میلگرد","750000-650000 rial"
"میلگرد Vcn100 میلگرد","میلگرد","1000000-1200000 rial"
"میلگرد Vcn150 میلگرد","میلگرد","1650000 rial"
"میلگرد Vcn200 میلگرد","میلگرد","2800000 rial"
"میلگرد Vcn150 میلگرد","میلگرد","1870000-1530000 rial"
"میلگرد Vcn200 میلگرد","میلگرد","1980000-2800000 rial"
"میلگرد 1.1740 میلگرد","میلگرد","1000000-800000 rial"
"ورق 4130 ورق","ورق","980000 rial"
"ورق 4140 ورق","ورق","680000-1100000 rial"
"میلگرد 1.7131 میلگرد","میلگرد","650000-870000 rial"
"میلگرد 1.6587 میلگرد","میلگرد","1550000-1900000 rial"
"میلگرد 1.6566 میلگرد","میلگرد","1570000-1400000 rial"
"میلگرد 1.5920 میلگرد","میلگرد","1650000-1900000 rial"
"میلگرد 1.5752 میلگرد","میلگرد","960000-1300000 rial"
"میلگرد 1.7147 میلگرد","میلگرد","750000-470000 rial"
"میلگرد 1.5714 میلگرد","میلگرد","730000-950000 rial"
"میلگرد 1.5732 میلگرد","میلگرد","730000-950000 rial"
"میلگرد 145Cr6 میلگرد","میلگرد","1300000-1550000 rial"
"میلگرد 100Cr6 میلگرد","میلگرد","1300000-1550000 rial"
"میلگرد 1.7258 میلگرد","میلگرد","1500000-920000 rial"
"میلگرد 1.7335 میلگرد","میلگرد","contact"
"میلگرد 1.7362 میلگرد","میلگرد","contact"
"میلگرد 1.7380 میلگرد","میلگرد","contact"
"میلگرد 1.7709 میلگرد","میلگرد","contact"
"میلگرد 1.8070 میلگرد","میلگرد","1400000 rial"
"میلگرد 1.7711 میلگرد","میلگرد","contact"
"تسمه 1.2080(Spk) تسمه","تسمه","3200000-2200000 rial"
"میلگرد 1.2080(Spk) میلگرد","میلگرد","1600000-2200000 rial"
"تسمه 1.2080(Spk) تسمه","تسمه","1600000-2200000 rial"
"میلگرد 1.2210(میل نقره ای) میلگرد","میلگرد","price varies"
"فولاد 1.2379(Spk-NL) میلگرد-تسمه(طبق سفارش از اروپا)","میلگرد-تسمه(طبق سفارش از اروپا)","5500000 rial"
"تسمه 1.2379(Spk-NL) میلگرد-تسمه","میلگرد-تسمه","3500000-2500000 rial"
"فولاد 1.2436(Spk-R) میلگرد-تسمه","میلگرد-تسمه","2100000-3000000 rial"
"فولاد 1.2436(Spk-R) میلگرد-تسمه","میلگرد-تسمه","3900000-5000000 rial"
"فولاد 1.2510 میلگرد-تسمه","میلگرد-تسمه","4000000-5500000 rial"
"فولاد 1.2510 میلگرد-تسمه","میلگرد-تسمه","4500000-6300000 rial"
"میلگرد 1.2767 میلگرد","میلگرد","4400000-3000000 rial"
"میلگرد 1.2721 میلگرد","میلگرد","6500000-5500000 rial"
"میلگرد 1.2419 میلگرد(180-200)","میلگرد(180-200)","2500000-1950000 rial"
"میلگرد 1.2542 میلگرد","میلگرد","2400000-3500000 rial"
"تسمه 1.2884 تسمه","تسمه","contact"
"میلگرد 1.2550 میلگرد (از قطر20 الی 35)","میلگرد (از قطر20 الی 35)","5000000 rial"
"میلگرد 1.2842 میلگرد","میلگرد","2500000-1800000 rial"
"میلگرد 1.2601 میلگرد","میلگرد","5000000 rial"
"فولاد 1.2344 میلگرد_ تسمه","میلگرد_ تسمه","5500000-4500000 rial"
"فولاد 1.2344 میلگرد_ تسمه","میلگرد_ تسمه","3600000-2600000 rial"
"میلگرد 1.2344 میلگرد","میلگرد","2700000-3500000 rial"
"میلگرد 1.2365 میلگرد","میلگرد","6000000 rial"
"میلگرد 1.2367 میلگرد","میلگرد","6000000 rial"
"میلگرد 1.2542 میلگرد","میلگرد","2400000-3500000 rial"
"میلگرد 1.2567 میلگرد (قطر30م.م)","میلگرد (قطر30م.م)","5000000 rial"
"میلگرد 1.2581 میلگرد (قطر40م.م)","میلگرد (قطر40م.م)","5500000 rial"
"میلگرد 1.2714 میلگرد","میلگرد","3000000-2400000 rial"
"تسمه 1.2714 تسمه","تسمه","2220000-2900000 rial"
"تسمه 1.2714 تسمه","تسمه","3500000-4500000 rial"
"تسمه 1.2767 تسمه","تسمه","3800000-2800000 rial"
"میلگرد 1.7103 میلگرد","میلگرد","3800000-2500000 rial"
"میلگرد 1.7117 میلگرد","میلگرد","2800000-2100000 rial"
"میلگرد 1.7176 میلگرد","میلگرد","2800000-2100000 rial"
"میلگرد 1.7707 میلگرد","میلگرد","2800000-2100000 rial"
"میلگرد 1.7701 میلگرد","میلگرد","2800000-2100000 rial"
"میلگرد 1.8159 میلگرد","میلگرد","1700000-2500000 rial"
"تسمه 1.8159 تسمه","تسمه","contact"
"میلگرد 1.8161 میلگرد","میلگرد","1750000 rial"
"ورق 70Cr2 میلگرد","میلگرد","800000-630000 rial"
"ورق Ck60 ورق","ورق","730000-950000 rial"
"ورق Ck60 ورق","ورق","1300000-1520000 rial"
"میلگرد Ck60 میلگرد","میلگرد","600000-750000 rial"
"ورق Ck67 ورق","ورق","950000-1200000 rial"
"ورق Ck67 ورق","ورق","1300000-1520000 rial"
"ورق Ck75 ورق","ورق","950000-1200000 rial"
"ورق Ck75 ورق","ورق","1300000-1520000 rial"
"تسمه 1.2311 تسمه","تسمه","950000-1300000 rial"
"تسمه 1.2312 تسمه","تسمه","1100000-1500000 rial"
"تسمه 1.2312 تسمه","تسمه","1600000-1230000 rial"
"تسمه P20 تسمه","تسمه","950000-1300000 rial"
"تسمه 1.2738 تسمه","تسمه","1800000-2800000 rial"
"میلگرد 1.0715 میلگرد","میلگرد","1000000-900000 rial"
"میلگرد 1.0718 میلگرد‌","میلگرد‌","1100000-960000 rial"
"میلگرد 1.0727 میلگرد","میلگرد","1100000-960000 rial"
"میلگرد 1.0736 میلگرد","میلگرد","1000000-900000 rial"
"میلگرد 1.8505 میلگرد(قطر100الی220م.م)","میلگرد(قطر100الی220م.م)","2500000 rial"
"میلگرد 1.8507 میلگرد","میلگرد","contact"
"میلگرد 1.8509 میلگرد(قطر100الی220م.م)","میلگرد(قطر100الی220م.م)","2000000-3600000 rial"
"تسمه 1.8515 تسمه","تسمه","2000000-3600000 rial"
"میلگرد 1.8519 میلگرد","میلگرد","2000000-3600000 rial"
"میلگرد 1.8550 میلگرد(قطر100الی220م.م)","میلگرد(قطر100الی220م.م)","3000000 rial"
"میلگرد 1.8550 میلگرد قطر300 -320-340-350م.م","میلگرد قطر300 -320-340-350م.م","4000000 rial"
"میلگرد 1.3207 میلگرد","میلگرد","30000000 rial"
"میلگرد 1.3243 میلگرد","میلگرد","30000000 rial"
"میلگرد 1.3255 میلگرد","میلگرد","30000000 rial"
"میلگرد 1.3265 میلگرد","میلگرد","30000000 rial"
"میلگرد 1.3343 میلگرد","میلگرد","30000000 rial"
"ورق Ck45 ورق(ضخامت2 الی5م.م)","ورق(ضخامت2 الی5م.م)","1000000-850000 rial"
"ورق Ck45 ورق","ورق","385000-550000 rial"
"ورق St37 ورق","ورق","contact"
"ورق St52 ورق","ورق","contact"
"میلگرد St52 میلگرد","میلگرد","400000-550000 rial"
"میلگرد St52 میلگرد","میلگرد","510000-650000 rial"
"میلگرد St52 میلگرد","میلگرد","600000-750000 rial"
"لوله St52 (سیلندری) لوله","لوله","contact"
"ورق A283 ورق","ورق","380000-480000 rial"
"ورق A516 ورق (گرید60)","ورق (گرید60)","400000-500000 rial"
"ورق A516 ورق (گرید70)","ورق (گرید70)","400000-500000 rial"
"ورق A517 ورق","ورق","contact"
"ورق کورتن ورق","ورق","contact"
"ورق 17Mn4 ورق","ورق","390000-600000 rial"
"میلگرد A105 میلگرد","میلگرد","800000;680000-600000 rial"
"لوله Api 5L لوله","لوله","contact"
"ورق ولداکس ورق ضخامت 14 و 25 میلیمتر","ورق ضخامت 14 و 25 میلیمتر","1500000 rial"
"ورق دومکس ورق","ورق","contact"
"ورق آلفورم ورق","ورق","1600000 rial"
"هاردوکس ورق","ورق","1180000-1450000 rial"
"هاردوکس ورق","ورق","1480000-1850000 rial"
"فولاد A36 ورق","ورق","550000 rial"
"دوروستات ورق","ورق","contact"
"اینکونل 600 میلگرد","میلگرد","44000000-65000000 rial"
"اینکونل 625 ورق","ورق","44000000-65000000 rial"
"استلایت میلگرد","میلگرد","contact"
"داپلکس میلگرد-ورق","میلگرد-ورق","5400000-9500000 rial"
"مونل میلگرد","میلگرد","43000000-60000000 rial"
"میلکروم(هارد) میلگرد","میلگرد","4170000-4320000 rial"
"میلکروم(معمولی) میلگرد","میلگرد","4500000 rial"
