کد کالا,نام گروه کالایی,قیمت پایه,ضریب,واحد اصلی,واحد فرعی,حداقل سفارش,حداکثر سفارش,شمارنده,موجودی,نوع اسپیسر,سایز اسپیسر (cm)
40100500110001,اسپیسسر,2350,200,عدد,بسته 200 عددی,1,5,1,0,خورشیدی ( 10 پر),5
40100500108001,اسپیسسر,2100,300,عدد,بسته 300 عددی,1,5,1,0,خورشیدی ( 8 پر),5
40030500200001,اسپیسسر,1400,500,عدد,بسته 500 عددی,1,20,1,40,مکس,5
40030300200001,اسپیسسر,1050,1000,عدد,بسته 1000 عددی,1,10,1,40,مکس,3
40040500100001,اسپیسسر,1100,1000,عدد,بسته 1000 عددی,1,20,1,40,مینی فیکس,5
40040300100001,اسپیسسر,700,2000,عدد,بسته 2000 عددی,1,20,1,20,مینی فیکس,3
40061000300001,اسپیسسر,2500,200,عدد,بسته 200 عددی,1,10,1,0,هارد,10
40060750300001,اسپیسسر,1900,300,عدد,بسته 300 عددی,1,10,1,60,هارد,7.5
40060500300001,اسپیسسر,1400,500,عدد,بسته 500 عددی,1,10,1,20,هارد,5
40060300300001,اسپیسسر,1450,600,عدد,بسته 600 عددی,1,10,1,30,هارد,3
,,,,,,40060300300001,,,,,
,,,,,,40060500300001,,,,,
,,,,,,40060750300001,,,,,
,,,,,,40061000300001,,,,,
