کد کالا,نام گروه کالایی,قیمت پایه,ضریب محصول,واحد اصلی,واحد فرعی (طاقه),حداقل سفارش,حداکثر سفارش,شمارنده,موجودی,کاربرد مفتول,سایز مفتول سیاه (mm),تولید کننده
111040020000000040,مفتول سیاه,38500,40,کیلوگرم,طاقه (40 کیلوگرم),1,25,1,1000,قالبندی,4 (40 کیلویی),راه ساخت
111040020000000025,مفتول سیاه,38500,25,کیلوگرم,طاقه (25 کیلوگرم),1,20,1,1000,قالبندی,4 (25 کیلویی),راه ساخت
111030020000000040,مفتول سیاه,39000,40,کیلوگرم,طاقه (40 کیلوگرم),1,25,1,1000,قالبندی,3 (40 کیلویی),راه ساخت
111030020000000025,مفتول سیاه,39000,25,کیلوگرم,طاقه (25 کیلوگرم),1,40,1,1000,قالبندی,3 (25 کیلویی),راه ساخت
111015020000000015,مفتول سیاه,40000,15,کیلوگرم,طاقه (15 کیلوگرم),1,33,1,1000,آرماتوربندی,1.5 راه ساخت,راه ساخت
111025020000000015,مفتول سیاه,40000,15,کیلوگرم,طاقه (15 کیلوگرم),1,100,1,1000,قالبندی,2.5 راه ساخت,راه ساخت
111015021001000015,مفتول سیاه,41500,15,کیلوگرم,طاقه (15 کیلوگرم),1,33,1,1000,آرماتوربندی,1.5 میهن نور,میهن نور
111025021001000015,مفتول سیاه,41500,15,کیلوگرم,طاقه (15کیلوگرم),1,100,1,1000,قالبندی,2.5 میهن نور,میهن نور
111015020999001000,مفتول سیاه,200,20,کیلوگرم,طاقه ( 15 کیلوگرم),1,50,1,1000,تسمه,1.5 تسمه,تهران
111025020999001000,مفتول سیاه,200,20,کیلوگرم,طاقه ( 15 کیلوگرم),1,25,1,1000,تسمه,2.5 تسمه,تهران
