کد کالا,نام گروه کالایی,قیمت پایه,ضریب,واحد اصلی,واحد فرعی (طاقه),حداقل سفارش,حداکثر سفارش,شمارنده,موجودی,نوع مفتول گالوانیزه,سایز مفتول گالوانیزه (mm),تولید کننده
112040020000000000,مفتول گالوانیزه,44500,50,کیلوگرم,طاقه ( کیلوگرم),1,10,1,500,گـــــــــرم,4,راه ساخت
112030020000000000,مفتول گالوانیزه,44500,50,کیلوگرم,طاقه ( کیلوگرم),1,10,1,500,گـــــــــرم,3,راه ساخت
112029020000000000,مفتول گالوانیزه,44500,50,کیلوگرم,طاقه ( کیلوگرم),1,10,1,500,گـــــــــرم,2.9,راه ساخت
112028020000000000,مفتول گالوانیزه,44500,50,کیلوگرم,طاقه ( کیلوگرم),1,10,1,500,گـــــــــرم,2.8,راه ساخت
112027020000000000,مفتول گالوانیزه,44500,50,کیلوگرم,طاقه ( کیلوگرم),1,10,1,500,گـــــــــرم,2.7,راه ساخت
112024020000000000,مفتول گالوانیزه,44500,50,کیلوگرم,طاقه ( کیلوگرم),1,10,1,1000,گـــــــــرم,2.4,راه ساخت
112022020000000000,مفتول گالوانیزه,44500,50,کیلوگرم,طاقه ( کیلوگرم),1,10,1,0,گـــــــــرم,2.2,راه ساخت
112021020000000000,مفتول گالوانیزه,44500,50,کیلوگرم,طاقه ( کیلوگرم),1,10,1,0,گـــــــــرم,2.1,راه ساخت
112020020000000000,مفتول گالوانیزه,44500,50,کیلوگرم,طاقه ( کیلوگرم),1,10,1,0,گـــــــــرم,2,راه ساخت
112019020000000000,مفتول گالوانیزه,44500,50,کیلوگرم,طاقه ( کیلوگرم),1,10,1,1000,گـــــــــرم,1.9,راه ساخت
112015020000000000,مفتول گالوانیزه,47500,50,کیلوگرم,طاقه ( کیلوگرم),1,10,1,0,گـــــــــرم,1.5,راه ساخت
112015520000000000,مفتول گالوانیزه,47500,50,کیلوگرم,طاقه ( کیلوگرم),1,10,1,0,گـــــــــرم,1.55,راه ساخت
112016020000000000,مفتول گالوانیزه,45500,50,کیلوگرم,طاقه ( کیلوگرم),1,10,1,0,گـــــــــرم,1.6,راه ساخت
112015021001000025,مفتول گالوانیزه,47500,20,کیلوگرم,طاقه ( کیلوگرم),1,15,1,200,گـــــــــرم,1.5,میهن نور
112012021001000025,مفتول گالوانیزه,47500,20,کیلوگرم,طاقه ( کیلوگرم),1,15,1,1000,گـــــــــرم,1.2,میهن نور
112008021001000020,مفتول گالوانیزه,57500,20,کیلوگرم,طاقه ( کیلوگرم),1,10,1,500,گـــــــــرم,0.8,میهن نور
112007021001000020,مفتول گالوانیزه,58000,20,کیلوگرم,طاقه ( کیلوگرم),1,10,1,0,گـــــــــرم,0.7,میهن نور
112006021001000020,مفتول گالوانیزه,58000,20,کیلوگرم,طاقه ( کیلوگرم),1,10,1,0,گـــــــــرم,0.6,میهن نور
112015010000000000,مفتول گالوانیزه,44500,25,کیلوگرم,طاقه ( کیلوگرم),1,8,1,200,ســــــــرد,1.5,راه ساخت
112016010000000000,مفتول گالوانیزه,44500,25,کیلوگرم,طاقه ( کیلوگرم),1,8,1,0,ســــــــرد,1.6,راه ساخت
112012010000000000,مفتول گالوانیزه,45000,25,کیلوگرم,طاقه ( کیلوگرم),1,40,1,1000,ســــــــرد,1.2,راه ساخت
112010010000000000,مفتول گالوانیزه,51000,25,کیلوگرم,طاقه ( کیلوگرم),1,8,1,0,ســــــــرد,1,راه ساخت
