کد کالا,نام گروه کالایی,قیمت پایه,ضریب,واحد اصلی,واحد فرعی,حداقل سفارش,حداکثر سفارش,شمارنده,موجودی,سایز میخ (cm),شماره میخ,,,,,
29220001001,میخ,46500,3.125,کیلوگرم,بسته,1,80,1,100,20,4*8,,,,,
29215001001,میخ,43500,3.125,کیلوگرم,بسته,1,160,1,150,15,6*6,,,,,
29212001001,میخ,43500,3.125,کیلوگرم,بسته,1,160,1,20,12,7*5,,,,,
29210001001,میخ,43500,3.125,کیلوگرم,بسته,1,160,1,180,10,8*4,,,,,
29208001001,میخ,43500,3.125,کیلوگرم,بسته,1,160,1,150,8,10*3,,,,,
29206001001,میخ,43500,3.125,کیلوگرم,بسته,1,160,1,750,6,12*2.5,,,,,
29105010001,میخ,43500,3.125,کیلوگرم,بسته,1,160,1,100,5,10*2,,,,,
29105014001,میخ,44000,3.125,کیلوگرم,بسته,1,160,1,100,5,14*2,,,,,
29104014001,میخ,44000,3.125,کیلوگرم,بسته,1,160,1,70,4,14*1.5,,,,,
29103016001,میخ,47000,3.125,کیلوگرم,بسته,1,80,1,60,3,16*1.25,,,,,
29102018001,میخ,60000,3.125,کیلوگرم,بسته,1,80,1,80,2,18*1,,,,,
,,,,,,,,,,,,,,,,شماره تماس :    09154521002
